seed,tau,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
27001,0.9,h_D,C7,h_D->C7,6,0.031844776846565184,0.10170153700473675,0.3131199172021254
27001,0.9,h_E,C6,h_E->C6,6,0.024250425552395836,0.07750746523913396,0.31287857856353657
27001,0.9,h_I,C2,h_I->C2,6,0.040052069646867625,0.14525389442821116,0.2757383532073684
27001,0.9,h_I,C4,h_I->C4,6,0.04339660704378579,0.12769381118845174,0.33984894521944226
27001,0.9,h_I,C5,h_I->C5,5,0.09539089068886901,0.1385189357475828,0.6886487408624561
27001,0.9,h_T,C3,h_T->C3,5,0.0335162117132109,0.10370088473279482,0.323200827063806
27001,0.9,h_T,C7,h_T->C7,6,0.04853758371874427,0.10170153700473675,0.47725516396085904
27001,1.0,h_D,C1,h_D->C1,6,0.07939494552072429,0.12397622801774424,0.6404045903761517
27001,1.0,h_D,C2,h_D->C2,6,0.060572168214397336,0.1448113001821913,0.41828343601480994
27001,1.0,h_D,C3,h_D->C3,5,0.04862388963119643,0.10370664723757642,0.46885991328345145
27001,1.0,h_D,C4,h_D->C4,6,0.043115447583587346,0.1280748760227308,0.33664250883677255
27001,1.0,h_D,C6,h_D->C6,6,0.03925424758458651,0.07777624011214729,0.5047074469976979
27001,1.0,h_D,C7,h_D->C7,6,0.03180071726615087,0.10167858989275015,0.31275726088826844
27001,1.0,h_E,C6,h_E->C6,6,0.02421313045869744,0.07777624011214729,0.3113178320714999
27001,1.0,h_I,C2,h_I->C2,6,0.040053452556368316,0.1448113001821913,0.27659065629339225
27001,1.0,h_I,C4,h_I->C4,6,0.04322876288401272,0.1280748760227308,0.3375272670652668
27001,1.0,h_I,C5,h_I->C5,5,0.09520717499820903,0.13735965240219508,0.6931232959060287
27001,1.0,h_T,C3,h_T->C3,5,0.03336719899198781,0.10370664723757642,0.3217460006707844
27001,1.0,h_T,C7,h_T->C7,6,0.048450430925084394,0.10167858989275015,0.47650573218720926
27002,0.0,h_D,C1,h_D->C1,6,0.08285164123801055,0.1225558272453468,0.6760318387103068
27002,0.0,h_D,C2,h_D->C2,6,0.06208942824186258,0.1352490966657784,0.4590746243195706
27002,0.0,h_D,C3,h_D->C3,5,0.051674680925562155,0.11092785308458686,0.4658404493386556
27002,0.0,h_D,C4,h_D->C4,6,0.04637680707737156,0.11955229510434814,0.3879206755211586
27002,0.0,h_D,C6,h_D->C6,6,0.0400590797018901,0.07887808702689691,0.5078606899749274
27002,0.0,h_D,C7,h_D->C7,6,0.033235582132186,0.10579184101434179,0.31416016408454617
27002,0.0,h_E,C6,h_E->C6,6,0.025625184286017767,0.07887808702689691,0.32487076261059517
27002,0.0,h_I,C2,h_I->C2,6,0.04240455082292958,0.1352490966657784,0.3135292720468537
27002,0.0,h_I,C4,h_I->C4,6,0.04633671364050946,0.11955229510434814,0.38758531234952925
27002,0.0,h_I,C5,h_I->C5,5,0.10111340515573364,0.16996901516727989,0.5948931636488278
27002,0.0,h_T,C3,h_T->C3,5,0.034562999463416975,0.11092785308458686,0.31158089246304754
27002,0.0,h_T,C7,h_T->C7,6,0.0503137114742091,0.10579184101434179,0.4755916050928036
27002,0.1,h_D,C1,h_D->C1,6,0.08265477967614068,0.12245263780523777,0.674993868298117
27002,0.1,h_D,C2,h_D->C2,6,0.06206235383960224,0.13465135292704908,0.4609114761198519
27002,0.1,h_D,C3,h_D->C3,5,0.05136717930943251,0.11109767578026866,0.4623605214799025
27002,0.1,h_D,C4,h_D->C4,6,0.04619956862478123,0.11990590920877012,0.38529851388689373
27002,0.1,h_D,C6,h_D->C6,6,0.03993849562784585,0.0791811709646398,0.504393849456671
27002,0.1,h_D,C7,h_D->C7,6,0.033182051137720214,0.10622699860410045,0.3123692806296326
27002,0.1,h_E,C6,h_E->C6,6,0.025561601152323296,0.0791811709646398,0.3228242376387134
27002,0.1,h_I,C2,h_I->C2,6,0.042272768623962606,0.13465135292704908,0.31394239793900214
27002,0.1,h_I,C4,h_I->C4,6,0.04614631028397032,0.11990590920877012,0.3848543461126622
27002,0.1,h_I,C5,h_I->C5,5,0.10099598509306663,0.17005518614077936,0.5939012351488281
27002,0.1,h_T,C3,h_T->C3,5,0.03433299091720465,0.11109767578026866,0.3090342860529336
27002,0.1,h_T,C7,h_T->C7,6,0.05015104806991503,0.10622699860410045,0.472112068762781
27002,0.2,h_D,C1,h_D->C1,6,0.08256606032733023,0.12228712240349611,0.6751819709537505
27002,0.2,h_D,C2,h_D->C2,6,0.06184038052717032,0.134330518697592,0.46035987299302006
27002,0.2,h_D,C3,h_D->C3,5,0.05112191836056839,0.1114888586267635,0.4585383597050993
27002,0.2,h_D,C4,h_D->C4,6,0.04600725726178674,0.12032309325532217,0.3823643160816875
27002,0.2,h_D,C6,h_D->C6,6,0.039829550030274226,0.07968843882704181,0.4998159157844924
27002,0.2,h_D,C7,h_D->C7,6,0.03302464332136455,0.10665527306887462,0.3096391052295055
27002,0.2,h_E,C6,h_E->C6,6,0.02543296763212171,0.07968843882704181,0.31915504941693024
27002,0.2,h_I,C2,h_I->C2,6,0.04214703997931296,0.134330518697592,0.313756251279589
27002,0.2,h_I,C4,h_I->C4,6,0.0460409371214583,0.12032309325532217,0.3826442279320238
27002,0.2,h_I,C5,h_I->C5,5,0.10078428676176117,0.17017294305884687,0.592246246374884
27002,0.2,h_T,C3,h_T->C3,5,0.03404515403543347,0.1114888586267635,0.30536821754631704
27002,0.2,h_T,C7,h_T->C7,6,0.050134368094244916,0.10665527306887462,0.4700599103187299
27002,0.3,h_D,C1,h_D->C1,6,0.08244607802899931,0.12232512551699128,0.6739913626074583
27002,0.3,h_D,C2,h_D->C2,6,0.061754741033502134,0.13418137607317177,0.46023332626553043
27002,0.3,h_D,C3,h_D->C3,5,0.050922226632568776,0.11151550447200502,0.45663808699260927
27002,0.3,h_D,C4,h_D->C4,6,0.04594400417774784,0.12042075304113972,0.38152895590737845
27002,0.3,h_D,C6,h_D->C6,6,0.03974689050854817,0.08008908728304973,0.49628347452105404
27002,0.3,h_D,C7,h_D->C7,6,0.032840342141232236,0.10715483934669162,0.3064755856212265
27002,0.3,h_E,C6,h_E->C6,6,0.025362129886928167,0.08008908728304973,0.31667397827842647
27002,0.3,h_I,C2,h_I->C2,6,0.0421220825225535,0.13418137607317177,0.3139189934918358
27002,0.3,h_I,C4,h_I->C4,6,0.045761234839320736,0.12042075304113972,0.3800111997581278
27002,0.3,h_I,C5,h_I->C5,5,0.10064416796468287,0.1702419348526068,0.5911831773483311
27002,0.3,h_T,C3,h_T->C3,5,0.03363037100342296,0.11151550447200502,0.3015757419773319
27002,0.3,h_T,C7,h_T->C7,6,0.049976970406856794,0.10715483934669162,0.4663995645095745
27002,0.4,h_D,C1,h_D->C1,6,0.08231660194234602,0.12237644508773582,0.6726507040031912
27002,0.4,h_D,C2,h_D->C2,6,0.0615888862129831,0.13355815699481915,0.461139084263577
27002,0.4,h_D,C3,h_D->C3,5,0.05072322980983235,0.11210742990835251,0.4524519904777585
27002,0.4,h_D,C4,h_D->C4,6,0.04576175851209227,0.1204847152231071,0.3798138081413339
27002,0.4,h_D,C6,h_D->C6,6,0.03952412158321732,0.08036606620536839,0.49180112264951614
27002,0.4,h_D,C7,h_D->C7,6,0.0327202328265789,0.10780607601992766,0.30351009919169253
27002,0.4,h_E,C6,h_E->C6,6,0.025291168582180827,0.08036606620536839,0.31469959618574306
27002,0.4,h_I,C2,h_I->C2,6,0.041995348032157695,0.13355815699481915,0.31443491716849836
27002,0.4,h_I,C4,h_I->C4,6,0.04564830830221339,0.1204847152231071,0.37887219318488197
27002,0.4,h_I,C5,h_I->C5,5,0.10049782218060829,0.17037025692478047,0.5898789142777945
27002,0.4,h_T,C3,h_T->C3,5,0.033440777417072645,0.11210742990835251,0.29829224917663427
27002,0.4,h_T,C7,h_T->C7,6,0.049879755011849825,0.10780607601992766,0.46268036879634694
27002,0.5,h_D,C1,h_D->C1,6,0.08199898143941971,0.12235464677803191,0.6701746406698138
27002,0.5,h_D,C2,h_D->C2,6,0.06159987629866967,0.13281852651413806,0.46378978832933215
27002,0.5,h_D,C3,h_D->C3,5,0.05046218402053372,0.11284856066763539,0.4471672808367413
27002,0.5,h_D,C4,h_D->C4,6,0.04562517813253979,0.11993107113882745,0.38042833853576996
27002,0.5,h_D,C6,h_D->C6,6,0.0392460913267651,0.08059334629839407,0.48696440995229107
27002,0.5,h_D,C7,h_D->C7,6,0.032606697681389275,0.10809415328609182,0.30165089128167527
27002,0.5,h_E,C6,h_E->C6,6,0.02519727113963336,0.08059334629839407,0.3126470396951715
27002,0.5,h_I,C2,h_I->C2,6,0.04198304486506192,0.13281852651413806,0.31609328884006915
27002,0.5,h_I,C4,h_I->C4,6,0.04548389394401865,0.11993107113882745,0.3792502936206502
27002,0.5,h_I,C5,h_I->C5,5,0.10046349812464435,0.17079022672930527,0.5882274416280633
27002,0.5,h_T,C3,h_T->C3,5,0.03330204344336302,0.11284856066763539,0.2951038386847484
27002,0.5,h_T,C7,h_T->C7,6,0.049534387147471534,0.10809415328609182,0.45825223327214626
27002,0.6,h_D,C1,h_D->C1,6,0.08176565329377328,0.12247328623784134,0.6676203097409988
27002,0.6,h_D,C2,h_D->C2,6,0.06155520702174558,0.13240379058828047,0.46490517188205893
27002,0.6,h_D,C3,h_D->C3,5,0.050218829785541305,0.11364018503560024,0.44191084139265757
27002,0.6,h_D,C4,h_D->C4,6,0.045432403852572134,0.12009445846727643,0.378305580723971
27002,0.6,h_D,C6,h_D->C6,6,0.03899294165259745,0.08069324220960866,0.48322437647041383
27002,0.6,h_D,C7,h_D->C7,6,0.03254440276829845,0.1085611137376028,0.29977955869778555
27002,0.6,h_E,C6,h_E->C6,6,0.025140147774169758,0.08069324220960866,0.3115520839843588
27002,0.6,h_I,C2,h_I->C2,6,0.04197094757089512,0.13240379058828047,0.316992039156114
27002,0.6,h_I,C4,h_I->C4,6,0.04536352879986986,0.12009445846727643,0.377732073389988
27002,0.6,h_I,C5,h_I->C5,5,0.10018376019634617,0.1709662974930643,0.5859854349353527
27002,0.6,h_T,C3,h_T->C3,5,0.033157165749281944,0.11364018503560024,0.2917732467489645
27002,0.6,h_T,C7,h_T->C7,6,0.0494348103856523,0.1085611137376028,0.4553638838367405
27002,0.7,h_D,C1,h_D->C1,6,0.08161477610020706,0.12283340820109465,0.6644346786008605
27002,0.7,h_D,C2,h_D->C2,6,0.06142857795688262,0.13152687564177168,0.467042022071012
27002,0.7,h_D,C3,h_D->C3,5,0.049741643932524594,0.1143241559031566,0.4350930347058533
27002,0.7,h_D,C4,h_D->C4,6,0.04528394840210657,0.12048021255352517,0.3758621224345252
27002,0.7,h_D,C6,h_D->C6,6,0.03879133700397819,0.08129651089871337,0.4771586944466882
27002,0.7,h_D,C7,h_D->C7,6,0.032419872873176964,0.10892879594058437,0.29762444900761487
27002,0.7,h_E,C6,h_E->C6,6,0.025033181768340497,0.08129651089871337,0.3079244298592494
27002,0.7,h_I,C2,h_I->C2,6,0.04194280657341747,0.13152687564177168,0.3188915297230549
