seed,p,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
23003,3,h_I,C4,h_I->C4,6,0.04502855820777349,0.11482707346280428,0.39214234804971637
23003,3,h_I,C5,h_I->C5,5,0.0986426337591235,0.13747446668239954,0.7175342166359893
23003,3,h_T,C3,h_T->C3,5,0.03142801317192369,0.09774835410009627,0.32151961494327824
23003,3,h_T,C7,h_T->C7,6,0.04607977173183758,0.09964835344143108,0.462423814744303
23003,4,h_D,C1,h_D->C1,6,0.0783788079875486,0.11251596475422102,0.696601661444774
23003,4,h_D,C2,h_D->C2,6,0.06109073117206311,0.11862975276137712,0.5149697251281615
23003,4,h_D,C3,h_D->C3,5,0.048901469364346674,0.0958572326974748,0.5101489787230709
23003,4,h_D,C4,h_D->C4,6,0.04433235046077669,0.11414759226829355,0.3883774469477126
23003,4,h_D,C6,h_D->C6,6,0.036452798647450366,0.08598463354587159,0.4239455021643997
23003,4,h_D,C7,h_D->C7,6,0.032175768387200314,0.10004258846867342,0.3216207105332342
23003,4,h_E,C6,h_E->C6,6,0.022902156249068502,0.08598463354587159,0.2663517340756494
23003,4,h_I,C2,h_I->C2,6,0.040255280775086444,0.11862975276137712,0.3393354520068866
23003,4,h_I,C4,h_I->C4,6,0.04372129154564798,0.11414759226829355,0.3830242116934191
23003,4,h_I,C5,h_I->C5,5,0.09619468467585264,0.13208460074504255,0.728280845250121
23003,4,h_T,C3,h_T->C3,5,0.03027299945465633,0.0958572326974748,0.3158134091965916
23003,4,h_T,C7,h_T->C7,6,0.0450008049156423,0.10004258846867342,0.4498164792015922
23003,5,h_D,C1,h_D->C1,6,0.07647029480121348,0.11055414091896187,0.6916999595390628
23003,5,h_D,C2,h_D->C2,6,0.06008688779380716,0.11579950306258796,0.5188872681155823
23003,5,h_D,C3,h_D->C3,5,0.04766276080780858,0.09384916133373254,0.5078656018865149
23003,5,h_D,C4,h_D->C4,6,0.04317712610353218,0.1131363312230585,0.38163802587891005
23003,5,h_D,C6,h_D->C6,6,0.03476795134433181,0.08720834564624351,0.39867688219849584
23003,5,h_D,C7,h_D->C7,6,0.0318150165405654,0.1002090094620274,0.31748658839207167
23003,5,h_E,C6,h_E->C6,6,0.022030646751492217,0.08720834564624351,0.2526208539788825
23003,5,h_I,C2,h_I->C2,6,0.03946755340777127,0.11579950306258796,0.34082662156243276
23003,5,h_I,C4,h_I->C4,6,0.042716826283031264,0.1131363312230585,0.37756948471692625
23003,5,h_I,C5,h_I->C5,5,0.09409611652133518,0.1288689460281605,0.7301690548477293
23003,5,h_T,C3,h_T->C3,5,0.029518070986507203,0.09384916133373254,0.3145267423458891
23003,5,h_T,C7,h_T->C7,6,0.04429932885085641,0.1002090094620274,0.4420693217928759
23004,1,h_D,C1,h_D->C1,6,0.08461951495898892,0.11711855857610484,0.7225115813159515
23004,1,h_D,C2,h_D->C2,6,0.06165016923005084,0.1424130724284297,0.432896841408997
23004,1,h_D,C3,h_D->C3,5,0.05252437099696021,0.1044421681033742,0.502903874462564
23004,1,h_D,C4,h_D->C4,6,0.046197900522723635,0.11669809034556557,0.3958753770993755
23004,1,h_D,C6,h_D->C6,6,0.040418596521230137,0.07348835471987047,0.5500000193874441
23004,1,h_D,C7,h_D->C7,6,0.033847805983595575,0.09886380122077239,0.3423680413386877
23004,1,h_E,C6,h_E->C6,6,0.026240007615484062,0.07348835471987047,0.35706347917504777
23004,1,h_I,C2,h_I->C2,6,0.040726062328055396,0.1424130724284297,0.2859713763161488
23004,1,h_I,C4,h_I->C4,6,0.045143157724088646,0.11669809034556557,0.3868371589459965
23004,1,h_I,C5,h_I->C5,5,0.09711252994557498,0.1633735527463184,0.5944201390770635
23004,1,h_T,C3,h_T->C3,5,0.034621268415101145,0.1044421681033742,0.3314874541909395
23004,1,h_T,C7,h_T->C7,6,0.05014649075999167,0.09886380122077239,0.5072280262368477
23004,2,h_D,C1,h_D->C1,6,0.08421016715271365,0.11811371713648683,0.712958403084472
23004,2,h_D,C2,h_D->C2,6,0.06117409615727487,0.13535775173436362,0.4519437961475279
23004,2,h_D,C3,h_D->C3,5,0.05174248560572814,0.10959459201474703,0.47212626694475535
23004,2,h_D,C4,h_D->C4,6,0.045912576642012815,0.12621497097632406,0.363764902740908
23004,2,h_D,C6,h_D->C6,6,0.040061758097839885,0.07810571191166805,0.512917136491041
23004,2,h_D,C7,h_D->C7,6,0.032892219575024306,0.0946401291658846,0.34755045100396564
23004,2,h_E,C6,h_E->C6,6,0.026088134689966347,0.07810571191166805,0.33401058707634773
23004,2,h_I,C2,h_I->C2,6,0.04039162499856264,0.13535775173436362,0.29840644130623445
23004,2,h_I,C4,h_I->C4,6,0.04488370649652414,0.12621497097632406,0.35561317448298585
23004,2,h_I,C5,h_I->C5,5,0.09700411729288655,0.15988224130269296,0.6067222757318573
23004,2,h_T,C3,h_T->C3,5,0.03373505468088983,0.10959459201474703,0.30781678238322774
23004,2,h_T,C7,h_T->C7,6,0.048658674450915956,0.0946401291658846,0.5141442100645616
23004,3,h_D,C1,h_D->C1,6,0.08072025673375402,0.11656608633047011,0.6924849179907779
23004,3,h_D,C2,h_D->C2,6,0.05911332587630351,0.13157220189871385,0.44928430947260806
23004,3,h_D,C3,h_D->C3,5,0.04767865332963746,0.11026700869115719,0.43239273373912274
23004,3,h_D,C4,h_D->C4,6,0.04437574148148374,0.1338511602538694,0.3315304954920582
23004,3,h_D,C6,h_D->C6,6,0.03844946408757646,0.07950180295963072,0.48363008957943543
23004,3,h_D,C7,h_D->C7,6,0.03115610165683108,0.09128270910451612,0.34131438431364813
23004,3,h_E,C6,h_E->C6,6,0.025030443578043717,0.07950180295963072,0.3148412066885928
23004,3,h_I,C2,h_I->C2,6,0.038706482011905706,0.13157220189871385,0.29418434481630334
23004,3,h_I,C4,h_I->C4,6,0.04334284813983286,0.1338511602538694,0.32381376491098496
23004,3,h_I,C5,h_I->C5,5,0.09585446962969252,0.1580438585267369,0.6065055012110446
23004,3,h_T,C3,h_T->C3,5,0.03102589449490918,0.11026700869115719,0.28137060089774535
23004,3,h_T,C7,h_T->C7,6,0.046003394003413446,0.09128270910451612,0.5039661339393082
23004,4,h_D,C1,h_D->C1,6,0.0780652834233369,0.11424693411549322,0.6833030927879143
23004,4,h_D,C2,h_D->C2,6,0.057152636090796766,0.12742294306816715,0.4485270447706849
23004,4,h_D,C3,h_D->C3,5,0.04426386256782184,0.11000803441223829,0.4023693615099731
23004,4,h_D,C4,h_D->C4,6,0.042943964982516666,0.13584783218016805,0.3161181469958693
23004,4,h_D,C6,h_D->C6,6,0.03689538058591832,0.08004330075643669,0.46094276768678144
23004,4,h_D,C7,h_D->C7,6,0.02954832338627758,0.08886504688063468,0.33250782420263586
23004,4,h_E,C6,h_E->C6,6,0.02409729237404607,0.08004330075643669,0.3010532067770485
23004,4,h_I,C2,h_I->C2,6,0.037688086322672516,0.12742294306816715,0.2957715888120308
23004,4,h_I,C4,h_I->C4,6,0.04191138460750105,0.13584783218016805,0.30851713961550453
23004,4,h_I,C5,h_I->C5,5,0.09438981142433478,0.1542653032845286,0.6118667607947416
23004,4,h_T,C3,h_T->C3,5,0.028794819154238135,0.11000803441223829,0.26175196482533447
23004,4,h_T,C7,h_T->C7,6,0.04363517278988393,0.08886504688063468,0.4910273985226671
23004,5,h_D,C1,h_D->C1,6,0.07536566991598677,0.11270488135477522,0.6686992525024728
23004,5,h_D,C2,h_D->C2,6,0.055498311062437244,0.1255565179835893,0.44201855828184927
23004,5,h_D,C3,h_D->C3,5,0.041346434918750584,0.11061827260250667,0.37377581429923606
23004,5,h_D,C4,h_D->C4,6,0.04179045768872535,0.1372749309555426,0.3044289106359488
23004,5,h_D,C6,h_D->C6,6,0.03564636083997115,0.0791198775180409,0.4505360973466186
23004,5,h_D,C7,h_D->C7,6,0.028217936570394394,0.08633753234812078,0.3268327898959432
23004,5,h_E,C6,h_E->C6,6,0.023444329171166033,0.0791198775180409,0.29631402254792355
23004,5,h_I,C2,h_I->C2,6,0.0368665681637753,0.1255565179835893,0.293625283303096
23004,5,h_I,C4,h_I->C4,6,0.04066390503797947,0.1372749309555426,0.29622236743905206
23004,5,h_I,C5,h_I->C5,5,0.09322988595063628,0.15185010837127705,0.613959956630871
23004,5,h_T,C3,h_T->C3,5,0.027420414520274584,0.11061827260250667,0.24788322828506487
23004,5,h_T,C7,h_T->C7,6,0.041738644519522784,0.08633753234812078,0.48343568994704805
23005,1,h_D,C1,h_D->C1,6,0.08439251957110958,0.12398639196212738,0.6806595323477699
23005,1,h_D,C2,h_D->C2,6,0.06283780702006928,0.1450553975250503,0.43319868196413935
23005,1,h_D,C3,h_D->C3,5,0.05335901165898381,0.10709813625369007,0.49822539891908807
23005,1,h_D,C4,h_D->C4,6,0.04704821607955555,0.11925753266125907,0.39450938678060293
23005,1,h_D,C6,h_D->C6,6,0.0404629206891438,0.07859086800547566,0.5148552461058169
23005,1,h_D,C7,h_D->C7,6,0.03375700782844382,0.10026583924124176,0.3366750638458933
23005,1,h_E,C6,h_E->C6,6,0.027103028397974818,0.07859086800547566,0.3448623114296384
